id,in5
66969,4
66971,4
66975,4
66979,4
66989,4
66990,4
67003,4
67005,4
67012,1
67013,4
67018,4
67020,4
67023,4
67033,4
67045,5
67091,4
67426,4
67680,4
67686,2
67695,4
67734,4
67747,4
68185,4
68201,4
68422,4
68429,4
68430,4
68618,5
68632,2
68637,2
68639,5
68644,4
68646,4
68653,5
68654,2
68655,2
68667,2
68668,4
68669,4
68671,4
68672,4
68675,3
68784,4
68795,4
68799,4
68811,4
68817,4
68825,4
68903,4
68905,4
68909,4
68913,3
68916,4
68918,4
68922,4
68923,4
68925,4
68927,4
84485,4
84706,4
85014,4
86656,2
88108,4
88400,3
89292,2
90666,4
92557,4
92989,4
93244,4
95411,4
95614,5
99556,3
100841,3
101687,4
104147,4
104170,4
104174,4
106147,1
106356,4
106543,2
108142,4
108850,4
109408,1
110956,4
111956,4
112724,4
114573,4
114675,2
117253,2
118690,2
119286,4
119723,4
119801,4
119955,4
119977,4
120089,4
121010,2
122224,4
122563,4
123412,3
125321,4
125616,4
127709,4
129484,4
129508,4
130153,4
130799,4
130935,2
130983,1
131593,4
132263,4
133153,4
135246,1
135402,5
135560,4
135589,2
139627,4
139918,4
141310,4
143014,4
144180,4
144675,4
145430,4
146677,4
148160,4
148241,4
148247,4
148468,4
149893,4
151406,4
151755,4
153503,5
157930,4
160635,2
162084,4
162562,4
163556,2
163718,4
164132,4
166779,4
168871,4
170041,4
170266,4
170392,3
170963,4
171716,2
172086,1
174621,4
178819,4
179148,4
179512,4
182937,4
183053,2
183953,4
184905,4
185662,4
186583,4
186675,4
186719,4
186724,4
186741,2
186922,4
188338,4
188392,4
188505,4
189182,4
190105,2
190613,4
191679,4
192597,4
192663,4
194085,4
194847,4
194848,4
197496,4
198034,4
198175,4
199171,5
199481,5
199567,4
199694,4
200520,5
202249,4
202520,3
202706,5
204914,4
208213,1
208923,1
209351,5
209568,4
210548,5
210655,4
210672,4
211082,5
212163,5
212235,4
212935,3
215338,4
215343,4
215811,4
216558,4
217670,4
217673,4
218263,4
219255,5
219783,3
219785,4
223080,4
223205,4
223626,4
227502,2
229174,1
229814,4
231002,4
231294,4
232007,4
232053,2
232744,5
236864,4
237532,4
239279,4
241229,4
241821,4
242927,2
244052,4
244093,4
245014,4
245210,4
245740,5
246684,2
246717,2
246817,2
247003,4
247064,4
247447,4
248051,4
248500,3
251255,5
252152,2
252956,5
253810,4
253960,4
255858,4
261944,5
262823,3
263166,4
263177,4
263959,4
267437,3
270080,4
271077,4
273082,4
275122,4
275773,3
276627,3
278489,4
278674,4
278894,4
282293,4
285716,4
285750,5
287624,4
289212,4
291468,4
291654,2
291719,4
293440,4
295478,4
297192,5
297829,3
299315,4
299415,4
299429,4
299451,4
300293,4
300326,4
301140,4
301999,4
302259,4
303517,4
303784,4
303788,4
305796,4
308305,4
308600,4
309633,4
310048,1
311630,4
313657,4
313737,4
314658,4
314680,4
315741,4
316891,4
317521,4
318816,4
319044,3
320298,1
320673,4
321769,4
323406,4
323574,1
324757,4
324997,4
325382,2
326630,4
326633,4
327282,4
329174,4
331355,2
331782,4
332906,3
332953,4
333448,4
333535,4
334769,4
336352,4
337029,4
337068,4
338198,4
341827,4
344689,4
347335,4
348663,4
349296,4
350029,2
350637,4
351126,5
351656,4
352983,4
354068,4
354381,4
354528,5
359715,2
360914,1
360981,4
362344,4
362385,4
364287,4
364862,4
364879,4
366836,4
367816,4
367817,2
368372,4
368861,5
371122,4
371292,4
375294,4
378050,4
379225,2
380105,4
380524,4
381216,3
381445,4
384105,5
384550,4
384592,4
386427,4
387261,4
388070,4
390067,4
391737,4
391738,4
391879,4
393576,4
394039,4
394446,4
395218,4
395530,4
395562,4
398352,4
398727,4
398928,4
400096,4
400395,4
400530,4
400722,5
400828,4
401611,4
403282,4
404236,4
405996,4
406615,5
409050,3
409947,4
410023,4
410136,2
410779,4
413731,4
415212,4
416075,5
417241,3
417580,4
417813,4
418468,4
419038,4
419042,4
420169,4
420285,4
420286,4
421269,4
423066,2
423265,4
424156,4
424353,3
425920,3
425923,2
429081,4
429633,4
430368,4
430594,5
431376,2
431601,4
431718,4
432044,4
433392,1
433393,4
435010,2
435091,4
435876,2
436236,1
436696,4
436773,4
438034,4
438663,4
441496,4
442900,4
443244,4
443797,4
444194,4
444489,4
444665,4
446028,3
446148,4
446462,4
447040,4
448121,4
448784,4
448827,4
448828,4
449003,1
449173,2
449960,4
450504,4
450715,2
450967,4
451335,4
452953,4
453161,4
453253,1
453754,4
454892,4
454914,3
454920,4
454933,4
455098,3
455558,4
456194,4
456745,4
457032,3
457167,4
458884,4
459033,4
460273,4
461871,5
463309,3
463343,5
464304,4
465015,4
465117,4
466040,4
468863,4
468864,1
468931,4
468932,1
468979,4
469093,4
471656,4
471776,4
472067,4
472616,5
473228,4
473363,4
473534,5
476590,4
477531,5
477668,2
479019,5
480240,2
480627,4
480628,4
480733,4
484455,4
484456,4
484707,3
485260,4
490134,4
491270,4
492752,4
492934,4
493206,4
494197,5
494235,2
494767,4
495134,4
495136,2
495426,2
498495,4
499511,5
500016,4
501387,4
502520,4
503241,4
504283,4
504524,1
508381,4
514518,4
514753,4
517814,4
518426,4
520778,3
521133,4
521450,5
522060,4
523621,4
523622,4
525272,4
525662,4
525663,1
525768,4
525771,4
526902,4
527540,4
528430,4
529744,1
529959,3
531583,4
532103,4
536389,4
536821,5
536874,2
537577,1
538297,4
538914,4
541180,4
541545,4
541546,2
541731,3
542285,4
542286,4
543829,4
544547,4
545155,4
545582,4
547796,3
549524,4
550577,4
550648,2
550672,1
551356,4
551547,4
552038,4
553274,4
555426,5
557577,4
557632,4
557761,4
558658,4
560488,1
560959,4
561737,4
562285,4
562633,4
562657,4
562658,4
564874,4
565600,4
566184,4
566201,4
570301,5
571325,5
573598,4
574102,5
574114,5
574154,4
574972,4
574975,4
575703,4
577016,4
578398,4
579115,4
579116,1
579123,4
579760,5
580213,4
581013,4
581863,4
582009,5
582402,4
582743,4
583753,4
585375,4
585525,4
589825,4
589879,2
591176,4
591489,4
591634,4
591874,4
592196,2
593672,4
593673,2
593744,4
593745,4
596637,3
596975,5
597133,4
597634,2
598398,4
598570,4
598610,2
599609,4
599926,4
600375,4
601270,4
601273,4
601274,4
601313,2
603146,4
603704,5
603762,4
604567,4
605306,4
605347,4
605866,4
606674,4
606852,4
607353,3
609085,4
610458,4
610716,4
610717,2
611882,3
612075,4
612169,5
612206,4
612215,4
612222,4
612234,4
612244,4
612251,4
612540,4
613235,4
613647,4
614127,1
614735,4
617231,4
617860,4
618280,4
619098,4
621291,4
621950,4
622946,4
623459,2
624403,3
625016,4
625036,4
626325,4
627669,4
629513,1
629987,4
631833,2
632377,4
632556,2
633810,1
636124,4
636137,4
636142,4
636237,4
636571,3
639103,2
640769,2
641502,4
641774,4
642343,4
642690,3
642691,5
642719,4
642811,4
643118,4
643289,4
644787,4
645042,4
645843,2
646344,4
647955,1
648088,4
648329,4
648387,2
648600,4
648602,4
648873,3
648969,4
649579,4
652109,1
652110,4
652660,4
653236,4
653357,2
653362,3
653792,4
655469,4
655786,3
655841,4
656510,5
660451,4
661189,5
662275,4
662573,4
663240,1
664499,4
664789,4
665905,4
665906,4
665977,4
666047,4
667824,3
669113,4
670025,4
670393,4
673165,4
673754,4
676254,4
676447,4
676854,5
677340,2
681958,4
683253,4
683725,4
683882,5
684007,4
685031,4
685874,4
686162,4
686183,2
686759,4
688329,4
689950,4
691631,2
691834,4
692269,4
693924,4
693951,4
694864,1
695196,2
695667,4
695670,5
697343,4
699898,1
700533,5
701919,4
