ID,COORDS_X,COORDS_Y,AGE,BEDROOMS,HOUSESIZE,LOTSIZE,INQUALITY,PARKING,DISTAMEN,DISTCBD,PROXAMEN,DFLOOD100,PRICE_REGR,YEAR
93244,178511,315291,40,4,130,7.85,7,1,1278.45,3421.61,2461.14,0,230534,2004
95411,178798,314947,53,1,115,0.501,7,0,1520.39,3869.43,2219.2,0,202200,2004
95614,177729,314849,25,7,148,0.402,9,1,455.32,3402.71,3284.26,0,416636,2004
99556,178554,318207,38,4,87,0.735,6,0,1706.73,2172.5,2032.85,0,184170,2004
100841,177939,318289,70,4,86,36.17,6,0,1089.94,1576.32,2649.64,0,141669,2004
101687,175002,318153,53,1,174,0.313,7,0,1634.15,1402.24,2105.43,0,367052,2004
104147,176329,320924,53,5,141,0.432,7,0,436.65,2945.79,3302.93,1,193185,2004
104170,179593,319053,23,1,120,0.489,7,1,2613.01,3374.94,1126.58,0,314248,2004
104174,174012,315806,42,5,160,1.048,7,1,2759.38,3223.58,980.21,0,244701,2004
106147,179243,316940,53,7,129,0.416,4,0,2081.14,3032.88,1658.44,0,179018,2004
106356,177850,315036,29,5,95,0.345,7,0,586.29,3283.41,3153.29,0,227314,2004
106543,177345,319404,100,1,137,1.138,5,0,338.82,1713.6,3400.76,0,126214,2004
108142,178942,319171,53,1,140,0.475,7,1,1951.99,2813.52,1787.59,0,283338,2004
108850,177539,318591,100,4,100,0.8,7,0,633.27,1298.83,3106.31,0,193185,2004
109408,176602,316649,100,7,175,1.218,4,0,197.14,1346.01,3542.44,0,354173,2004
110956,176959,320039,90,6,129,0.206,7,1,17.9,2136.33,3721.69,0,302657,2004
111956,175464,316911,84,9,115,6,7,0,1363.45,1415.59,2376.14,0,392810,2004
112724,173215,317002,40,5,115,4.56,7,0,3536.82,3325.01,202.77,0,275464,2005
114573,174561,317546,53,1,150,1.004,7,0,2114.95,1882.78,1624.63,0,345157,2004
114675,176284,320761,67,1,130,0.197,5,1,294.73,2784.24,3444.86,1,218943,2004
117253,175564,316869,65,7,149,0.64,5,0,1256.06,1385.45,2483.53,0,283338,2004
118690,174052,316499,53,1,128,0.385,5,0,2698,2769.75,1041.59,0,215305,2005
119286,179335,319712,90,9,180,0.343,7,1,2324.31,3414.07,1415.28,0,298793,2004
119723,176476,317295,100,1,150,0.229,7,0,309.5,688.75,3430.08,0,385082,2004
119801,174324,319801,51,6,150,0.661,7,1,1652.18,2757.24,2087.4,0,265951,2004
119955,177067,317832,90,1,125,3.17,7,0,224.06,689.35,3515.52,0,354173,2004
119977,177634,315398,51,7,133,1.012,7,0,435.85,2863.37,3303.74,0,212504,2004
120089,178678,316228,34,1,128,3.5,7,1,1457.5,2878.17,2282.09,0,275611,2004
121010,175972,316647,63,1,150,1.854,5,1,808.93,1396.84,2930.65,0,341294,2004
122224,178989,315171,42,6,140,0.344,7,0,1733.26,3823.55,2006.33,0,222807,2004
122563,179593,319292,42,1,110,3.69,7,0,2588.75,3458.43,1150.84,0,275611,2004
123412,177713,314985,30,4,105,7.71,6,0,445.35,3271.58,3294.23,0,195761,2004
125321,175928,316860,67,5,103,0.618,7,0,903.39,1211.71,2836.2,0,310384,2004
